TITLE,YEAR,BIBREF,AUTHORS,JOURNAL,DETECTED_METHODS,CONFIDENCE,HAS_METHODS,UNCERTAINTY_STATEMENTS,DECISION_ANALYSIS,POLICY_INTERVENTION,UNCERTAINTY_ANALYSIS,STAKEHOLDER_EXPERT,MODELING_SIMULATION,BAYESIAN_PROBABILISTIC,COMPUTER_ASSISTED,VALUE_INFORMATION,MULTI_CRITERIA,OPTIMIZATION,ECONOMIC_EVALUATION,GAME_THEORY,BEHAVIORAL_PSYCHOLOGY,SYSTEMS_COMPLEXITY,TECHNOLOGY_INNOVATION,ENVIRONMENTAL_SUSTAINABILITY,QUALITY_PERFORMANCE,RISK_SAFETY,FORECASTING_PREDICTION,EVALUATION_ASSESSMENT,ABSTRACT,KEYWORDS
---Geological Carbon Sequestration,,gtGeologicalCarbonSequestration,"Gt, C. O.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
13th ICCRTS: C2 for Complex Endeavors,,josefsson13thICCRTSC2,"Josefsson, Lt Col Anders and Marklund, Maj Joakim and Headquarters, Swedish Armed Forces and Hansson, Lars-ke",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
15th Annual Conference,,select15thAnnualConference,"Select, Holiday Inn and Richmond, Virginia",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
"2. Using Scenarios and Models to Inform Decision-Making in Diverse Policy, 2 Planning and Management Contexts 3",,acostaUsingScenariosModels,"Acosta, Lilibeth and Wintle, Brendan and Benedek, Zs\'ofia and Heymans, Purna Chhetri Sheila JJ and Onur, Aliye Ceren and Painter, Rosario Lilian and Razafimpahanana, Andriamandimbisoa and Shoyama, Kikuko",,FORECASTING_PREDICTION(0.40),0.02,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,bin; read CW
2.1 Expenditures in the United States and Worldwide,,wilson21ExpendituresUnited,"Wilson, Rosalyn A.",Logistics Engineering Handbook,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
A Good Practices Handbook for Managing Regulatory Impact Analyses,,adamowiczGoodPracticesHandbook,"Adamowicz, Vic",,POLICY_INTERVENTION(0.40),0.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
A Hierarchical Multivariate Bayesian Approach to Ensemble Model Output Statistics in Atmospheric Prediction,,HierarchicalMultivariateBayesian,,,MODELING_SIMULATION(0.40); BAYESIAN_PROBABILISTIC(0.90); FORECASTING_PREDICTION(0.40),0.085,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Bayesian; bin; linter/error; read CW
A New Map of the World of Public Health and an Ethical Code for Decision Analysts,,dowieNewMapWorld,"Dowie, Jack",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
A Qualitative Study of Cancer Survivors' Responses to Information on the Long Term and Late Effects of Pelvic Radiotherapy One to Eleven Years Post Treatment,,laneQualitativeStudyCancer,"Lane, Jack Straws and Horne, Amanda",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
A Quantitative Analysis of USAF C-17 Pilot Computer Based Continuation Training,,QuantitativeAnalysisUSAF,,,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This paper conducts a quantitative analysis of 2019 C-17A pilot phase CBT completion data including mean completion time and remediation rates. Airdrop qualification was an additional differentiator in comparing completion and remediation rates. The research found that 30 of the 33 phase CBTs had mean completion times that differed from the scheduled duration, remediation rates are not correlated with completion time, and airdrop qualified pilots complete 11 CBTs faster than non-airdrop qualified pilots. These findings indicate areas for further research and possible improvement to more efficiently train C-17 pilots.",bin; read CW
A Web-Based Data Analysis Platform for Collaborative Decision Assistance,,diaz-caezWebbasedDataAnalysis,"Daz-C\'aez, Christian and Kim, Charles",,STAKEHOLDER_EXPERT(0.40); COMPUTER_ASSISTED(0.40),0.04,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Actualisation Partielle Du Guide M\'ethodologique Pour l'\'evaluation \'Economique Des Strat\'egies de Sant\'e,,clementActualisationPartielleGuide,"Cl\'ement, Olivia",,EVALUATION_ASSESSMENT(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,bin; read CW
Ahmed Riahi-Belkaoui,,booksAhmedRiahibelkaoui,"Books, Quorum",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
Air Pollution and the Risks to Human Health--Science/Policy Interface--,,amannAirPollutionRisks,"Amann, M. and van Bree, L. and Briggs, D. and Fudge, N. and van den Hazel, P. and Katsouyanni, K. and Langeweg, F. and Maas, R. and Petersen, A. and Rabl, A.",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
An Advanced Multi-Disciplinary Facility for Measurement and Experimentation in the Social Sciences,,kapteynAdvancedMultidisciplinaryFacility,"Kapteyn, A. Arie and van Soest, AHO Arthur and Bethlehem, JG Jelke and Dellaert, BGC Benedict and Hagenaars, JAP Jacques and Kalmijn, M. Matthijs and Kooreman, P. Peter and Mackenbach, JP Johan and Saris, WE Willem and Couper, MP Mick",,EVALUATION_ASSESSMENT(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,bin; read CW
An Automated Software Team Formation Based on Belbin Team Role Using Fuzzy Technique,,abdulrahmanAutomatedSoftwareTeama,"Abdulrahman, Bikhtiyar Hasan",,COMPUTER_ASSISTED(0.80),0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,bin; read CW
